|player_id|player_name|player_preferred_position|player_preferred_number|player_minutes|wavg_player_rating|offsides|shots_total|shots_on_goal|goals_total|goals_conceded|goals_assists|goals_saves|passes_total|passes_key|passes_completed|tackles_total|tackles_blocks|tackles_interceptions|tackles_total_padj|tackles_blocks_padj|tackles_interceptions_padj|duels_total|duels_won|dribbles_attemps|dribbles_success|dribbles_past|dribbles_past_padj|fouls_drawn|fouls_committed|fouls_committed_padj|cards_yellow|cards_red|penalty_won|penalty_committed|penalty_scored|penalty_missed|penalty_saved
0|0||M|11|6124|6.688348623853211|0|57|22|4|41|1|22|921|22|479.0399999999999|114|15|87|129.10731689568564|17.760054144162464|91.98899233178837|301|140|78|41|37|40.26201649027976|89|90|100.32227755454593|21|1|1|0|0|0|0
1|6|Leonardo Balerdi|D|5|450|7.325|0|2|0|0|0|0|0|180|0|149.88|7|4|9|5.393772893772893|3.0724193838947937|7.491483925910154|34|28|3|3|0|0.0|5|4|3.4070847185601285|2|0|0|0|0|0|0
2|34|Filipe Luis|D|3|4032|7.198090277777779|0|15|6|2|1|2|0|2832|48|1070.47|108|9|85|91.9913957262253|8.393200628993252|71.62972109836774|309|184|73|50|34|29.076644681787215|50|74|62.66546156263852|10|0|0|0|0|0|0
3|37|Nehuen Perez|D|3|185|6.989189189189189|0|1|0|0|0|0|0|52|0|40.040000000000006|4|3|2|3.892668178382464|2.7777777777777777|1.946334089191232|18|10|0|0|0|0.0|0|4|3.892668178382464|2|0|0|0|0|0|0
4|41|Juanfran|D|20|2854|6.735529081990187|0|7|2|0|0|3|0|1184|35|431.99|47|5|37|42.54068012538219|4.3409840699538425|31.336101780076458|142|58|29|11|33|30.00671023483378|16|48|44.703149390928054|5|0|0|0|0|0|0
5|71|Luan Peres|D|14|5049|6.8598930481283436|0|15|5|0|0|2|0|2137|15|966.9200000000003|68|24|106|67.6494507059229|24.632695678101815|111.98176308536875|364|201|28|20|34|37.34598148789597|37|46|46.50163278486881|12|2|0|0|0|0|0
6|96|Jemerson|D|5|638|7.172570532915361|0|3|1|0|0|0|0|293|2|10.549999999999997|8|1|20|7.122281558756969|0.8771929824561404|18.542476461479918|61|35|4|2|0|0.0|2|11|10.575602516391989|0|0|0|0|0|0|0
7|150|Arthur|M|8|2791|7.285596560372627|0|16|5|2|0|1|0|2451|32|2288.6699999999996|2|1|47|1.4430014430014428|0.8333333333333334|46.070493371337406|285|186|36|30|23|22.761657293451016|90|23|21.606566082949026|3|0|0|0|0|0|0
8|166|Juan Foyth|D|8|630|7.371428571428571|0|0|0|0|0|0|0|246|3|196.76999999999998|0|0|19|0.0|0.0|20.85042143472376|75|53|14|13|4|4.469669004552725|9|6|6.3157108721624855|0|0|0|0|0|0|0
9|168|Davinson Sanchez|D|6|1156|7.065224913494809|0|1|0|0|0|1|0|512|4|443.20000000000005|0|0|35|0.0|0.0|31.939160328711957|102|60|10|9|9|9.078122332672384|7|15|14.632278245437485|3|0|0|1|2|0|0
10|183|Vincent Janssen|F|9|2497|6.965278334000801|14|91|40|12|0|2|0|558|40|185.68|31|0|6|35.274140545862814|0.0|5.79048285981059|375|154|74|39|16|17.910288731122378|56|81|84.3185765736|14|2|2|0|2|0|0
11|217|Lautaro Martinez|F|10|2866|7.345396825396826|0|121|55|21|14|4|0|317|33|217.56000000000003|11|1|16|10.961380991175709|1.0638297872340425|15.483765969525766|462|222|92|46|8|6.822678887875606|114|81|79.47818933047436|7|0|2|0|0|1|0
12|234|Erick Gutierrez|M|15|2735|7.308592321755029|1|43|8|3|0|5|0|1400|62|1227.3299999999997|74|6|34|72.30008973003424|7.337553514024103|32.8134292455898|342|208|60|41|22|21.564329846423362|62|40|37.34932445139026|5|0|0|0|0|0|0
13|248|Hirving Lozano|F|11|2305|7.306724511930586|25|96|35|10|0|4|0|596|47|480.38|39|3|15|35.73963942152984|2.9638043896804|14.548359938924097|421|225|100|49|16|16.46993776505242|120|55|52.428285458156765|11|3|5|0|1|0|0
14|251|Maximiliano Romero|F|19|2674|6.931268996960486|3|72|36|13|7|5|0|423|28|310.4100000000001|7|1|6|6.029674817997447|0.9090909090909091|5.923278842257754|109|51|41|22|8|6.580376273739507|27|31|28.93934410298665|4|0|1|0|0|0|0
15|256|Dani Alves|D|10|4315|7.344148319814601|9|60|18|3|0|6|0|3259|124|1238.6599999999999|94|6|24|85.93528974401498|5.3520108103700235|21.487916140931716|317|158|94|58|46|40.32010204150825|105|114|106.89179898798275|14|0|0|0|0|0|0
16|350|Jonathan Cafu|F|22|103|6.863106796116504|0|0|0|0|0|0|0|26|2|0.9299999999999999|2|0|1|3.125|0.0|1.5625|21|9|3|2|0|0.0|4|3|3.2100667693888036|0|0|0|0|0|0|0
17|372|Eder Militao|D|3|2841|7.122668074621614|0|24|8|3|0|1|0|1037|11|826.21|35|4|72|41.87950296087655|4.177118171683389|73.62240322540251|425|266|51|35|21|23.4700930500535|43|50|51.67019767045688|7|1|0|0|0|0|0
18|374|Joao Pedro|D|23|1903|6.702942722017867|0|32|10|1|0|1|0|544|19|386.37000000000006|22|5|22|23.249247251985754|6.13361704163591|25.81486108494405|129|49|78|50|14|16.741018238548083|15|35|40.53061093387663|4|0|0|1|0|0|0
19|433|Marcao|D|96|164|7.319512195121952|0|5|3|1|0|0|0|49|1|44.38|0|0|4|0.0|0.0|5.5071721311475414|11|6|0|0|0|0.0|0|3|2.459016393442623|2|1|0|0|0|0|0
